timestamp,equity
2019-09-10 08:00:00.000,100010.0
2019-09-10 16:00:00.000,100020.00099999999
2019-09-11 00:00:00.000,100030.00300009998
2019-09-11 08:00:00.000,100040.0060004
2019-09-11 16:00:00.000,100050.01000100002
2019-09-12 00:00:00.000,100060.01500200013
2019-09-12 08:00:00.000,100070.02100350033
2019-09-12 16:00:00.000,100080.02800560067
2019-09-13 00:00:00.000,100090.03600840124
2019-09-13 08:00:00.000,100100.04501200207
2019-09-13 16:00:00.000,100110.05501650328
2019-09-14 00:00:00.000,100120.06602200492
2019-09-14 08:00:00.000,100130.07802860712
2019-09-14 16:00:00.001,100140.09103640997
2019-09-15 00:00:00.001,100150.1050455136
2019-09-15 08:00:00.000,100160.12005601816
2019-09-15 16:00:00.000,100170.13606802376
2019-09-16 00:00:00.000,100180.15308163057
2019-09-16 08:00:00.000,100190.17109693873
2019-09-16 16:00:00.000,100200.19011404841
2019-09-17 00:00:00.000,100210.21013305982
2019-09-17 08:00:00.000,100220.23115407313
2019-09-17 16:00:00.000,100230.25317718853
2019-09-18 00:00:00.000,100240.27620250624
2019-09-18 08:00:00.000,100250.3002301265
2019-09-18 16:00:00.000,100260.32526014949
2019-09-19 00:00:00.000,100270.35129267552
2019-09-19 08:00:00.000,100280.37832780479
2019-09-19 16:00:00.000,100290.40636563758
2019-09-20 00:00:00.000,100300.43540627413
2019-09-20 08:00:00.000,100310.46544981477
2019-09-20 16:00:00.000,100320.49649635974
2019-09-21 00:00:00.000,100330.52854600939
2019-09-21 08:00:00.000,100340.56159886399
2019-09-21 16:00:00.000,100350.59565502389
2019-09-22 00:00:00.000,100360.63071458938
2019-09-22 08:00:00.000,100370.66677766084
2019-09-22 16:00:00.000,100380.70384433861
2019-09-23 00:00:00.000,100390.74191472305
2019-09-23 08:00:00.001,100400.78098891454
2019-09-23 16:00:00.000,100410.82106701343
2019-09-24 00:00:00.001,100420.86214912012
2019-09-24 08:00:00.000,100430.90423533502
2019-09-24 16:00:00.000,100440.94732575856
2019-09-25 00:00:00.000,100450.99142049115
2019-09-25 08:00:00.001,100461.03651963318
2019-09-25 16:00:00.000,100471.08262328514
2019-09-26 00:00:00.000,100481.12973154748
